Rlarge Rsmall Nu ampFrac rsl amp vel
7.50000e-01 2.00000e-01 1.00000e-02 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 1.50000e-02 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 2.00000e-02 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 2.50000e-02 7.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 3.00000e-02 7.00000e-01 1.21655e+00 2.04946e-01 2.98857e-01
7.50000e-01 2.00000e-01 4.00000e-02 6.00000e-01 1.21661e+00 2.04931e-01 2.89985e-01
7.50000e-01 2.00000e-01 5.00000e-02 6.00000e-01 1.21655e+00 2.04946e-01 2.98857e-01
7.50000e-01 2.00000e-01 7.50000e-02 6.00000e-01 1.21651e+00 2.04946e-01 3.07560e-01
7.50000e-01 2.00000e-01 1.00000e-01 6.00000e-01 1.21651e+00 2.04946e-01 3.07560e-01
7.50000e-01 2.00000e-01 1.30000e-01 6.00000e-01 1.21655e+00 2.04946e-01 2.98857e-01
7.50000e-01 2.00000e-01 1.75000e-01 6.00000e-01 1.21651e+00 2.04946e-01 3.07560e-01
7.50000e-01 2.00000e-01 2.35000e-01 7.00000e-01 1.21655e+00 2.04946e-01 2.98857e-01
7.50000e-01 2.00000e-01 3.15000e-01 6.00000e-01 1.21651e+00 2.04946e-01 3.07560e-01
7.50000e-01 2.00000e-01 4.20000e-01 6.00000e-01 1.21651e+00 2.04946e-01 3.07560e-01
7.50000e-01 2.00000e-01 5.60000e-01 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 7.55000e-01 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 1.01000e+00 6.00000e-01 1.21655e+00 2.04946e-01 2.98857e-01
7.50000e-01 2.00000e-01 1.35000e+00 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
7.50000e-01 2.00000e-01 1.81000e+00 6.00000e-01 1.21655e+00 2.04946e-01 2.98857e-01
7.50000e-01 1.50000e-01 5.00000e-03 6.00000e-01 1.19901e+00 1.92930e-01 5.71521e-01
7.50000e-01 1.50000e-01 1.00000e-02 6.00000e-01 1.19901e+00 1.92930e-01 5.71521e-01
7.50000e-01 1.50000e-01 1.50000e-02 6.00000e-01 1.19901e+00 1.92930e-01 5.71521e-01
7.50000e-01 1.50000e-01 2.00000e-02 6.00000e-01 1.19901e+00 1.92930e-01 5.71521e-01
7.50000e-01 1.50000e-01 2.50000e-02 7.00000e-01 1.19901e+00 1.92930e-01 5.71521e-01
7.50000e-01 1.50000e-01 3.00000e-02 7.00000e-01 1.19901e+00 1.92930e-01 5.71521e-01
